,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
84,85,ESP,Jose,Higueras,Jose Higueras,698,455,,,,,,,
85,85,USA,Sam,Querrey,Sam Querrey,698,381,1:35,8746,2333,78.99%,50.32%,163.08,62.81%
86,87,FRA,Jo,Tsonga,Jo Tsonga,696,465,1:44,6679,1630,77.66%,52.84%,163.01,66.94%
87,88,FRA,Yannick,Noah,Yannick Noah,693,481,,,,,,,
88,89,RUS,Marat,Safin,Marat Safin,689,422,1:48,5680,1557,75.43%,52.49%,170.90,62.73%
89,90,USA,Tom,Gorman,Tom Gorman,688,401,,,,,,,
90,91,USA,Cliff,Richey,Cliff Richey,687,468,,,,,,,
91,92,CZE,Radek,Stepanek,Radek Stepanek,686,384,1:44,4112,2020,72.76%,50.74%,158.10,61.83%
92,93,AUT,Jurgen,Melzer,Jurgen Melzer,684,350,1:41,3411,1824,69.74%,50.59%,159.91,60.18%
93,94,SVK,Dominik,Hrbaty,Dominik Hrbaty,677,359,1:35,3181,2582,71.24%,49.75%,158.42,59.64%
94,95,SWE,Magnus,Gustafsson,Magnus Gustafsson,675,415,1:34,1445,1785,,49.51%,157.07,59.90%
95,95,ESP,Nicolas,Almagro,Nicolas Almagro,675,397,1:42,5477,1662,74.83%,52.76%,158.32,61.95%
96,97,FRA,Guy,Forget,Guy Forget,671,380,1:39,2493,642,77.82%,51.67%,168.58,63.94%
97,97,GBR,Mark,Cox,Mark Cox,671,397,,,,,,,
98,99,USA,Vincent,Spadea,Vincent Spadea,670,311,1:35,2353,1791,,51.21%,157.43,59.79%
99,100,HUN,Balazs,Taroczy,Balazs Taroczy,668,429,,,,,,,
100,101,GER,Rainer,Schuettler,Rainer Schuettler,664,327,1:41,2124,1939,,51.15%,153.72,
101,102,GBR,Roger,Taylor,Roger Taylor,663,369,,,,,,,
102,103,ESP,Javier,Sanchez,Javier Sanchez,660,326,1:32,1222,1204,,,156.01,
103,104,ESP,Albert,Costa,Albert Costa,658,385,1:39,2225,1307,,52.48%,156.48,60.37%
104,104,CZE,Petr,Korda,Petr Korda,658,410,1:32,2223,2444,71.71%,,164.84,61.44%
105,106,ITA,Adriano,Panatta,Adriano Panatta,656,408,,,,,,,
106,106,SWE,Anders,Jarryd,Anders Jarryd,656,396,,,614,71.88%,49.68%,,
107,108,SWE,Thomas,Johansson,Thomas Johansson,653,357,1:39,5113,1773,76.20%,50.74%,160.65,61.95%
108,109,USA,Aaron,Krickstein,Aaron Krickstein,651,395,1:29,995,,,50.66%,166.45,59.74%
109,109,ESP,Guillermo,Lopez,Guillermo Lopez,651,297,1:47,2360,2576,,,158.80,
110,111,USA,Dick,Stockton,Dick Stockton,649,388,,,,,,,
111,112,FRA,Henri,Leconte,Henri Leconte,646,377,,,593,74.03%,49.79%,,61.30%
112,113,AUS,Colin,Dibley,Colin Dibley,645,332,,,,,,,
113,113,USA,Todd,Martin,Todd Martin,645,411,1:38,5663,1956,75.55%,51.08%,173.52,64.40%
114,115,RSA,Cliff,Drysdale,Cliff Drysdale,644,398,,,,,,,
115,116,FRA,Arnaud,Clement,Arnaud Clement,643,316,1:50,3142,1733,70.63%,50.18%,161.09,
116,117,JPN,Kei,Nishikori,Kei Nishikori,640,430,1:47,2027,1607,70.38%,53.14%,159.46,60.87%
117,118,GER,Nicolas,Kiefer,Nicolas Kiefer,637,364,1:43,4081,2287,74.84%,,152.16,60.47%
118,119,AUS,Dick,Crealy,Dick Crealy,634,321,,,,,,,
119,120,AUS,Mark,Woodforde,Mark Woodforde,631,319,1:36,1989,1522,71.13%,,162.71,61.69%
120,121,NED,Richard,Krajicek,Richard Krajicek,630,411,1:31,7648,2191,81.38%,51.07%,164.84,65.73%
121,122,CYP,Marcos,Baghdatis,Marcos Baghdatis,622,349,1:44,4350,1954,74.82%,51.53%,161.12,60.28%
122,123,USA,James,Blake,James Blake,620,364,1:35,3473,1648,72.71%,51.19%,160.21,61.28%
123,123,ECU,Nicolas,Lapentti,Nicolas Lapentti,620,322,1:51,2686,1488,70.23%,,161.57,
124,125,PAR,Victor,Pecci,Victor Pecci,619,368,,,,,,,
125,126,USA,Eliot,Teltscher,Eliot Teltscher,616,400,,,,,,,
126,127,AUS,Wally,Masur,Wally Masur,614,328,1:36,995,,70.24%,52.80%,167.26,61.21%
127,128,ARG,Juan,Potro,Juan Potro,612,439,1:54,4458,1364,74.50%,53.14%,155.65,63.31%
